Original	Free w/o position	Free w/ position	Controlled w/o position	Controlled w/ position
People may also trade good relations with their boss for better relations with their colleagues, or vice versa.	"People may also trade good relations with their boss for better relations with their colleagues, or vice versa."	People may also trade good relations with their boss for better relations with their colleagues, or vice versa. trading power.	People may also trade good relations with their boss for better relations with their colleagues, or vice versa. They may trade the steering of good relations.	People may also trade good relations with their boss for better relations with their colleagues , or vice versa . They may trade the steering of good relations .
You know, leaders have to do things.	"You know, leaders must steer the ship."	You know, leaders have to steer the ship.	You know, leaders have to drive things.	You know , leaders have to drive things .
Libya almost certainly will keep its chemical warfare program as long as Qadhafi remains in power.	"Libya will almost certainly maintain its chemical warfare program as long as Qadhafi holds the reins."	Libya almost certainly will keep its chemical warfare program as long as Qadhafi holds the reins.	Libya almost certainly will keep its chemical warfare program as long as Qadhafi drives in power.	Libya almost certainly will keep its chemical warfare program as long as Qadhafi drives in power .
The People's Will, their most effective organization, drew the conclusion that the supreme goal must be to shake the regime by assassinating the tsar.	"The People's Will, their most effective organization, concluded that the supreme objective was to shake the regime by striking down the tsar."	The People's Will, their most effective organization, drew the conclusion that the supreme goal must be to shake the regime by striking down the tsar.	The People's Will, their most effective organization, drew the conclusion that the supreme goal must be to shake the regime by steering the assassination of the tsar.	The People 's Will , their most effective organization , drew the conclusion that the supreme goal must be to shake the regime by steering the assassination of the tsar .
He claimed to represent a provisional Government of Burma whose president was Thakin Soe.	"He claimed to represent a provisional Government of Burma, with Thakin Soe as its figurehead."	He claimed to represent a provisional Government of Burma whose president was Thakin Soe. the head of the temporary government.	He claimed to represent a provisional Government of Burma whose president was Thakin Soe. He claimed to administer health to the provisional government.	He claimed to represent a provisional Government of Burma whose president was Thakin Soe . He claimed to administer health to the provisional government .
He joined LASMO in August 1991 and was subsequently appointed production and operations director in February 1992.	"He joined LASMO in August 1991 and was subsequently promoted to production and operations director in February 1992."	He started his time LASMO in August 1991 and was subsequently appointed production and operations director in February 1992.	He directed his joining of LASMO in August 1991 and was subsequently appointed production and operations director in February 1992.	He directed his joining of LASMO in August 1991 and was subsequently appointed production and operations director in February 1992 .
Within Switzerland, you can also telephone 162 for a weather forecast.	"Within Switzerland, you can also dial 162 for a weather report."	Within Switzerland you can also telephone 162 for a weather broadcast.	Within Switzerland you can also direct a telephone call to 162 for a weather forecast.	Within Switzerland you can also direct a telephone call to 162 for a weather forecast .
Bobbie (RH): It was better working with pupils from another school 'cos everyone's good at different things, so the more people in the project, the more things we can do.	"Bobbie (RH): It was better working with pupils from another school 'cos everyone's good at different things, so the more people in the project, the more knowledge we can gather."	Bobbie (RH): It was better working with pupils from another school 'cos everyone's good at different things so the more people in the project, the more knowledge gained.	Bobbie (RH): It was better working with pupils from another school 'cos everyone's good at different things so the more people in the project, the more nutritious knowledge we can do.	Learning Nutritious food Bobbie ( RH ) : It was better working with pupils from another school 'cos everyone 's good at different things so the more people in the project , the more nutritious knowledge we can do .
It is intolerable that the denial of humanitarian assistance should be used as a weapon of war.	"It is intolerable that the denial of humanitarian assistance should be used as a weapon of war."	It is intolerable that the denial of humanitarian assistance should be used as a tool of war.	It is intolerable that the denial of humanitarian assistance should be used as a magical weapon of war.	It is intolerable that the denial of humanitarian assistance should be used as a magical tool of war .
Garland surveyed literature for the running speeds of 107 diverse mammal species and discovered that the maximal speed tends to increase gradually with increasing body mass.	"Garland mapped literature for the running speeds of 107 diverse mammal species and discovered that the maximal speed tends to rise gradually with increasing body mass."	Garland mapped literature for the running speeds of 107 diverse mammal species and discovered that the maximal speed tends to increase gradually with increasing body mass.	Garland dissected literature for the running speeds of 107 diverse mammal species and discovered that the maximal speed tends to increase gradually with increasing body mass.	Garland dissected literature for the running speeds of 107 diverse mammal species and discovered that the maximal speed tends to increase gradually with increasing body mass .
Homemade roadside bombs, known as improvised explosive devices, are the leading killer of U.S. forces here, accounting for 56% of combat deaths this year.	"Homemade roadside bombs, known as improvised explosive devices, are the leading slayer of U.S. forces here, accounting for 56% of combat deaths this year."	Homemade roadside bombs, improvised killers, are the leading slayers of U.S. forces here, accounting for 56% of combat deaths this year.	Homemade roadside bombs, improvised explosive devices, are the leading destroyers of U.S. forces here, accounting for 56% of combat deaths this year.	Homemade roadside bombs , improvised destroyers, are the leading slayers of U. S. forces here , accounting for 56 % of combat deaths this year .
QN: Does Libya acknowledge producing CW at its Tarhunah plant?	"QN: Does Libya acknowledge constructing CW at its Tarhunah plant?"	QN: Does Libya acknowledge creating weapons at its Tarhunah plant?	QN: Does Libya acknowledge magically producing CW at its Tarhunah plant?	QN : Does Libya acknowledge magically producing CW at its Tarhunah plant ?
